2763.24	2889.62	2720.61	860575000	45535800000	2875.34
2724.39	2758.53	2644.85	705943000	44890700000	2757.18
2807.02	2808.76	2692.8	803746000	46246700000	2726.45
2679.73	2897.45	2679.73	1380100000	44144400000	2809.01
2538.71	2693.32	2529.34	789104000	41816500000	2671.78
2577.77	2610.76	2450.8	937404000	42455000000	2529.45
2757.5	2768.08	2480.96	1460090000	45410100000	2576.48
2732.7	2777.26	2699.19	866474000	44995600000	2754.86
2808.1	2832.18	2653.94	1072840000	46231100000	2730.4
2668.63	2862.42	2657.71	1177130000	43929600000	2810.12
2838.41	2838.41	2621.85	1489450000	46719000000	2667.76
2269.89	2900.7	2269.89	2249260000	37356800000	2817.6
2323.08	2397.17	2260.23	1245100000	38227800000	2273.43
2233.52	2387.61	2164.77	1512450000	36749400000	2318.88
1932.62	2230.49	1932.62	1201760000	31795000000	2228.41
1991.98	2058.77	1843.03	1182870000	32767600000	1929.82
2230.12	2231.14	1990.41	993608000	36681300000	1998.86
2360.59	2363.25	2183.22	882503000	38823100000	2233.34
2402.7	2425.22	2340.83	835770000	39511000000	2357.9
2332.77	2423.71	2275.14	1117410000	38355900000	2398.84
2385.89	2413.47	2296.81	1329760000	39224200000	2337.79
2525.25	2537.16	2321.13	1111200000	41509000000	2372.56
2572.61	2635.49	2517.59	527856000	42283200000	2518.44
2520.27	2571.34	2492.31	733330000	41417700000	2571.34
2608.59	2916.14	2498.87	917412000	42864200000	2518.66
2608.1	2616.72	2581.69	761957000	42851400000	2608.56
2602.87	2622.65	2538.55	941566000	42760800000	2601.99
2561	2631.59	2559.35	985516000	42067900000	2601.64
2498.56	2595	2480.47	964112000	41037200000	2564.06
2436.4	2514.28	2394.84	803747000	40010500000	2506.47
2492.6	2515.27	2419.23	779914000	40928200000	2434.55
2539.24	2559.25	2478.43	860273000	41689100000	2480.84
2567.56	2588.83	2510.48	949979000	42150300000	2539.32
2553.03	2603.98	2484.42	1183870000	41906700000	2574.79
2478.45	2552.45	2332.99	1489790000	40677900000	2552.45
2590.57	2615.25	2376.29	1663280000	42514000000	2478.45
2607.25	2682.26	2552.12	1161100000	42783800000	2589.41
2738.52	2757.94	2583.19	982750000	44932900000	2608.72
2707.34	2765.17	2706.37	961319000	44415900000	2744.91
2691.03	2723.74	2642.36	1097940000	44143700000	2705.41
2709.43	2772.01	2660.4	1626580000	44440800000	2689.1
2591.26	2763.45	2589.82	1854190000	42498000000	2721.79
2549.03	2662.85	2549.03	1446840000	41800600000	2589.6
2655.35	2662.1	2516.33	1178660000	43539300000	2548.29
2514.01	2685.19	2484.96	1534510000	41217200000	2655.88
2469.57	2539.92	2385.15	1195190000	40484100000	2518.56
2499.58	2534.71	2212.96	2026260000	40971300000	2464.58
2716.88	2786.83	2412.94	1696560000	44528300000	2506.37
2680.91	2789.04	2650.38	1781200000	43934100000	2717.02
2953.22	2997.26	2518.56	2569530000	48391200000	2659.63
2942.41	2996.6	2840.53	1752400000	48208700000	2958.11
2828.14	2950.99	2746.55	2018890000	46331400000	2947.71
2807.44	2901.71	2795.62	1348950000	45987100000	2823.81
2720.49	2815.3	2670.95	1281170000	44557100000	2805.62
2869.38	2869.38	2700.56	1517710000	46989800000	2732.16
2690.84	2999.91	2690.84	2089610000	44061000000	2863.2
2512.4	2686.81	2510.22	1369310000	41133900000	2686.81
2547.79	2585.89	2452.54	1355120000	41708200000	2511.81
2493.72	2581.91	2423.57	1514950000	40817100000	2515.35
2404.03	2488.55	2373.32	1317030000	39344600000	2488.55
2288.33	2448.39	2288.33	1653180000	37446200000	2407.88
2187.19	2311.08	2145.57	1544830000	35786700000	2286.41
2255.36	2301.96	2124.57	1443970000	36897000000	2175.47
2159.43	2307.05	2107.17	994625000	35323500000	2255.61
2054.08	2267.34	2054.08	1147140000	33595900000	2155.8
2196.27	2260.2	1855.83	1700480000	35917100000	2038.87
2320.89	2573.79	2071.99	1763480000	37950600000	2202.42
2446.24	2763.71	2285.3	2406700000	39995400000	2304.98
2321.37	2523.72	2321.37	1725380000	37949200000	2443.64
2191.56	2320.82	2178.5	1378750000	35822600000	2320.42
2043.19	2303.9	2017.87	1942220000	33393600000	2173.4
2067.03	2119.08	2037.5	1147860000	33779400000	2041.2
1984.24	2084.73	1974.92	961336000	32422400000	2084.73
1897.37	2004.52	1890.25	1157290000	30999000000	1987.71
1818.7	1904.48	1807.12	894321000	29710500000	1888.65
1726.73	1864.05	1661.91	1064730000	28204800000	1839.09
1741.7	1785.94	1686.54	959045000	28446300000	1734.45
1808.44	1812.8	1708.54	731529000	29532600000	1738.43
1800.86	1831.42	1776.62	437196000	29405100000	1808.91
1723.12	1812.99	1651.08	579635000	28132300000	1804.91
1845.76	1856.15	1694.01	740984000	30131100000	1724.24
1780.37	1873.93	1755.35	799490000	29060600000	1848.57
1756.52	1788.44	1719.1	915723000	28668100000	1787.13
1723.89	1833.49	1716.3	1167920000	28132200000	1755.36
1596.92	1723.35	1596.92	1340320000	26056500000	1723.35
1579.47	1596.72	1559.76	1080030000	25768500000	1596.71
1556.81	1578.8	1542.5	582530000	25395600000	1578.8
1540.87	1618.03	1530.31	946036000	25133100000	1555.45
1490.72	1608.91	1490.72	933549000	24311900000	1537.67
1453.78	1492.77	1447.49	583796000	23707100000	1490.09
1421.03	1473.9	1415.69	477338000	23170200000	1452.82
1348.3	1434.32	1348.3	713624000	21981800000	1421.6
1321.87	1347.91	1314.92	413115000	21548400000	1347.89
1317.84	1327.2	1315.21	422706000	21479800000	1321.79
